,Date,Open,High,Low,Close,Adj Close,Volume,No. of Shares,No. of Trades,Change(%)
0,01-01-2015,438.988831,441.812073,437.67627,439.781311,417.988892,1367720,181432,9740,-0.0036
1,02-01-2015,439.880371,443.818054,437.998199,438.61734,416.882599,3383424,260835,19270,-0.0026
2,05-01-2015,438.34494,441.267212,432.946106,433.812897,412.316284,4662967,328788,39864,-0.011
3,06-01-2015,430.915344,432.401276,412.09375,414.124512,393.603546,8596809,975422,26226,-0.0454
4,07-01-2015,414.619812,425.36795,414.570282,423.139069,402.171295,9562421,660342,24450,0.0218
5,08-01-2015,426.011841,427.398682,416.130493,417.071564,396.40451,9171029,787134,20043,-0.0143
6,09-01-2015,420.216766,426.952911,418.532715,426.110901,404.995911,6180769,510671,16807,0.0217
7,12-01-2015,426.209961,426.457611,416.848694,421.157837,400.288269,4661200,503008,12635,-0.0116
8,13-01-2015,422.495178,423.460999,416.303864,417.616425,396.922363,4591328,426946,17722,-0.0084
9,14-01-2015,417.542114,419.523346,411.69751,413.554901,393.062103,5251887,669183,22637,-0.0097
10,15-01-2015,416.056213,431.460175,416.056213,428.067352,406.855377,7811847,574183,18515,0.0351
11,16-01-2015,425.962311,433.391876,422.024628,430.766754,409.421051,8831705,394114,20417,0.0063
12,19-01-2015,431.014404,438.84024,425.34317,435.695038,414.105133,6156390,460462,20319,0.0114
13,20-01-2015,436.611359,448.523438,435.298798,447.285187,425.121002,6166247,397727,20303,0.0266
14,21-01-2015,448.251038,451.42099,441.836823,449.117798,426.862732,7884400,358347,16826,0.0041
15,22-01-2015,448.325317,449.340698,435.620758,437.7258,416.035278,10947527,425122,17925,-0.0254
16,23-01-2015,440.821442,444.684845,434.382477,439.286011,417.518158,8344145,405448,17768,0.0036
17,27-01-2015,442.257843,444.139984,436.116058,440.350922,418.530273,8279250,360069,19173,0.0024
18,28-01-2015,438.889771,450.628479,438.889771,449.167328,426.909882,8906082,398082,29739,0.02
19,29-01-2015,449.291168,462.862518,449.192108,460.336456,437.525482,16668291,550069,11875,0.0249
20,30-01-2015,460.633667,461.252777,450.232239,453.327911,430.864227,10036145,242053,10538,-0.0152
21,02-02-2015,453.724152,455.631073,448.597748,449.761719,427.474731,8908197,845402,21279,-0.0079
22,03-02-2015,452.312531,466.007721,452.312531,464.39798,441.385803,7888109,432764,17033,0.0326
23,04-02-2015,465.14093,467.468872,458.602905,460.039276,437.243011,6494638,399472,15156,-0.0094
24,05-02-2015,463.605469,465.53717,454.491882,457.513245,434.842194,5706742,333040,16341,-0.0055
25,06-02-2015,457.711365,460.633667,447.260406,450.678009,428.345673,4174655,302154,19104,-0.0149
26,09-02-2015,446.368866,454.690002,441.812073,444.139984,422.131622,4079516,441242,20611,-0.0145
27,10-02-2015,444.783905,448.003387,426.606201,436.859009,415.211456,6299938,486418,12685,-0.0164
28,11-02-2015,438.84024,448.127197,437.354309,446.121216,424.014648,4513933,263416,14910,0.0212
29,12-02-2015,449.736938,452.684021,439.459351,450.306549,427.992554,4019490,315228,12272,0.0094
30,13-02-2015,452.708771,456.076843,450.257019,454.442352,431.923462,3412182,277851,14078,0.0092
31,16-02-2015,455.036713,457.760895,445.774506,447.161346,425.003235,5661079,275109,11545,-0.016
32,18-02-2015,445.774506,449.736938,443.000793,446.591766,424.461914,4538867,211791,15402,-0.0013
33,19-02-2015,449.216858,449.538818,439.607971,446.789886,424.650208,4407617,291714,26404,0.0004
34,20-02-2015,443.421814,443.793274,431.559235,432.450806,411.021667,8637984,575890,22462,-0.0321
35,23-02-2015,430.890594,434.258667,419.572876,421.727448,400.829651,6509207,530826,28760,-0.0248
36,24-02-2015,423.114288,424.377319,414.570282,416.774384,396.12204,9205176,616856,23261,-0.0118
37,25-02-2015,420.414886,424.228729,416.576263,417.616425,396.922363,7049002,643101,23478,0.002
38,26-02-2015,419.077576,421.009247,414.372162,417.046814,396.38092,9903671,632989,16233,-0.0014
39,27-02-2015,419.795746,426.457611,418.334595,423.758209,402.759796,8611300,426181,22193,0.0161
41,02-03-2015,430.420044,433.639526,423.758209,428.067352,406.855377,6728442,360646,36015,-0.001
42,03-03-2015,430.420044,448.969208,429.627563,446.170746,424.061707,9523937,707794,17540,0.0423
43,04-03-2015,448.746338,450.554199,435.893158,439.756561,417.965363,6680693,384308,14198,-0.0144
44,05-03-2015,442.059723,445.155365,434.952087,438.32016,416.600128,4945756,306655,14033,-0.0033
45,09-03-2015,438.39447,441.688232,428.017822,430.742004,409.397491,6491176,299199,24051,-0.0173
46,10-03-2015,430.395294,433.788116,423.683899,425.54129,404.454529,7030516,589174,13955,-0.0121
47,11-03-2015,426.432831,430.717224,422.197998,423.956329,402.94809,5369953,240858,10224,-0.0037
48,12-03-2015,424.97168,429.627563,423.782959,427.844452,406.643555,5437566,218285,14724,0.0092
49,13-03-2015,430.420044,430.717224,419.523346,421.058777,400.194122,5970034,294391,19700,-0.0158
50,16-03-2015,421.752197,422.965698,416.204803,417.096344,396.428101,6387153,567883,21757,-0.0094
51,17-03-2015,421.281677,425.912781,416.551514,424.4021,403.371765,8800839,588090,15046,0.0175
52,18-03-2015,424.476379,432.029785,423.337189,430.246704,408.926727,4278050,310093,13145,0.0138
53,19-03-2015,433.664307,434.233887,423.040009,424.055389,403.042236,6430821,254726,10758,-0.0144
54,20-03-2015,424.92215,426.531891,420.315826,423.040009,402.077179,4802236,195127,16913,-0.0024
55,23-03-2015,424.228729,427.943512,415.115112,417.022034,396.357391,6115649,311055,18032,-0.0142
56,24-03-2015,417.096344,423.139069,417.096344,419.993866,399.181976,4263534,438979,12093,0.0071
57,25-03-2015,420.513947,420.761597,416.551514,418.483185,397.746124,4737268,382017,14318,-0.0036
58,26-03-2015,416.601044,420.637787,408.180847,410.756439,390.402313,9516748,382644,32094,-0.0184
59,27-03-2015,413.034851,413.579681,396.962189,402.039063,382.116882,10765370,535694,24134,-0.0212
60,30-03-2015,404.466064,405.010895,394.485657,401.568542,381.669708,7998063,451512,15847,-0.0012
61,31-03-2015,405.159485,412.539551,405.159485,409.121948,388.848877,9338631,314795,15179,0.0188
62,01-04-2015,408.577087,415.560913,402.732483,414.099762,393.579956,6732605,254414,12073,0.0122
63,06-04-2015,414.074982,415.065582,406.843536,408.453278,388.213257,5692183,219606,14472,-0.0136
64,07-04-2015,409.146698,414.124512,409.146698,412.514771,392.073517,9818618,255261,30326,0.0099
65,08-04-2015,412.836731,430.667694,412.539551,428.884613,407.632202,11454982,651313,30292,0.0397
66,09-04-2015,428.686493,445.279205,425.36795,443.347504,421.378418,12588063,1119528,22999,0.0337
67,10-04-2015,443.273224,450.133179,440.375671,447.929077,425.732941,11686661,478685,35204,0.0103
68,13-04-2015,449.142578,458.033295,445.155365,456.918854,434.277222,9311840,469162,28895,0.0201
69,15-04-2015,456.175903,465.38858,449.340698,457.488464,434.818665,10259724,513681,21865,0.0012
70,16-04-2015,457.909485,464.5961,455.185303,459.816406,437.031219,9311821,499935,24343,0.0051
71,17-04-2015,463.134949,467.716522,456.968384,459.073456,436.325073,11056926,462394,44115,-0.0016
72,20-04-2015,464.24939,464.323669,435.125458,438.66687,416.929688,17365390,827606,21128,-0.0444
73,21-04-2015,440.895752,443.545624,432.128845,434.110077,412.598694,8171780,425129,16632,-0.0104
74,22-04-2015,436.809479,439.2117,429.429443,435.744568,414.15213,6812343,302454,18261,0.0038
75,23-04-2015,437.77533,440.524261,430.444824,434.407257,412.881134,6155401,310531,16802,-0.0031
76,24-04-2015,434.382477,438.07251,430.246704,435.323578,413.752045,5865595,307251,14993,0.0021
77,27-04-2015,435.893158,439.583191,431.633545,433.540466,412.057312,5096308,245491,17242,-0.0041
78,28-04-2015,433.243286,436.859009,425.24411,428.537903,407.302643,6778219,477021,18846,-0.0115
79,29-04-2015,426.952911,431.187775,419.721466,421.009247,400.147064,7563040,309185,21374,-0.0176
80,30-04-2015,421.009247,428.884613,419.993866,427.126282,405.960968,16061186,333967,17933,0.0145
81,04-05-2015,429.033203,442.753143,426.209961,441.291992,419.424713,6958726,357224,19822,0.0332
82,05-05-2015,442.654083,446.666046,438.39447,441.886353,419.989655,8236274,357104,27282,0.0014
83,06-05-2015,440.821442,444.164764,431.905975,435.992218,414.387512,10355229,532670,21683,-0.0134
84,07-05-2015,433.391876,435.100677,425.962311,431.286835,409.915344,7723447,439971,21074,-0.0108
85,08-05-2015,431.410645,442.678833,426.507141,440.672852,423.702179,7893697,489222,9269,0.0217
86,11-05-2015,442.233063,445.502075,437.552429,443.768524,426.678619,6559762,367532,10845,0.007
87,12-05-2015,443.248444,443.248444,428.513123,430.271454,413.701385,7684065,373248,12081,-0.0304
88,13-05-2015,432.574615,440.152802,424.575439,438.39447,421.511566,7707709,437442,8117,0.0189
89,14-05-2015,438.84024,438.939301,431.063934,434.976868,418.225586,5690160,316156,5196,-0.0078
90,15-05-2015,436.809479,439.31076,430.964874,432.871796,416.201599,3845085,200012,8401,-0.0049
91,18-05-2015,433.342346,442.802673,432.005035,441.589172,424.583252,4544638,262804,10684,0.0201
92,19-05-2015,441.440582,448.127197,439.137421,443.570404,426.488159,6697763,399582,8537,0.0045
93,20-05-2015,445.972626,451.22287,444.635315,450.157959,432.822021,4019151,301940,7598,0.0149
94,21-05-2015,451.34668,453.402191,442.852203,444.164764,427.059662,4965518,485092,5603,-0.0133
95,22-05-2015,444.288574,448.548218,444.288574,447.681427,430.440857,3853084,189317,5431,0.0079
96,25-05-2015,445.774506,449.736938,441.985413,443.050323,425.988098,3053900,190722,4315,-0.0103
97,26-05-2015,443.297974,443.793274,437.205719,438.14682,421.273438,4388978,154381,5579,-0.0111
98,27-05-2015,438.84024,441.267212,435.967468,438.49353,421.606812,3728104,188643,6928,0.0008
99,28-05-2015,438.76593,442.926514,431.905975,433.788116,417.082611,12247683,235493,9243,-0.0107
100,29-05-2015,435.818878,439.06311,432.450806,434.382477,417.654083,13511569,623744,8619,0.0014
101,01-06-2015,435.868408,448.201508,434.877808,446.888947,429.678925,9043078,271380,15121,0.0288
102,02-06-2015,448.622498,455.086243,441.539642,445.105835,427.964447,9312587,558053,12197,-0.004
103,03-06-2015,445.279205,450.950439,440.078491,443.966644,426.869141,7174605,445685,16188,-0.0026
104,04-06-2015,447.854797,453.798431,442.084473,452.06488,434.655548,7352336,461778,8948,0.0182
105,05-06-2015,450.678009,454.169922,447.978607,449.613129,432.298126,6030112,287749,8307,-0.0054
106,08-06-2015,449.142578,450.727539,437.403839,438.56781,421.678223,5005867,216884,6345,-0.0246
107,09-06-2015,437.62674,441.143402,434.555847,437.701019,420.844818,4224271,204010,11025,-0.002
108,10-06-2015,438.84024,450.678009,438.34494,448.647278,431.369537,6234576,289182,10919,0.025
109,11-06-2015,448.746338,450.479889,432.723206,434.456787,417.725525,6773174,416598,13400,-0.0316
110,12-06-2015,435.373108,442.158783,435.001617,440.747162,423.773651,9942471,397129,6435,0.0145
111,15-06-2015,443.248444,448.251038,440.821442,446.641296,429.440796,5934228,259776,7576,0.0134
112,16-06-2015,445.279205,448.251038,442.406433,447.730957,430.488464,6428372,312970,22298,0.0024
113,17-06-2015,448.275787,466.750671,442.802673,461.228027,443.46582,12106356,869836,39234,0.0302
114,18-06-2015,461.896667,486.389526,461.871918,484.878845,466.20575,22782770,1403351,29040,0.0513
115,19-06-2015,486.637177,498.474945,486.637177,493.645721,474.635071,21095589,1072967,19494,0.0181
116,22-06-2015,493.794312,499.614166,488.618378,491.19397,472.27771,8950414,649734,10433,-0.005
117,23-06-2015,491.66452,496.642334,490.84726,492.828491,473.849274,7387458,508162,12859,0.0033
118,24-06-2015,492.828491,498.499725,488.692688,490.797729,471.896759,8585283,659933,16734,-0.0041
119,25-06-2015,488.866028,499.762756,487.875427,497.558655,478.397339,12541312,778667,14909,0.0138
120,26-06-2015,495.255463,502.288818,493.026611,495.651703,476.563782,9676173,552085,13021,-0.0038
121,29-06-2015,489.311798,492.258881,481.436462,490.772949,471.872925,9307965,536953,10383,-0.0098
122,30-06-2015,490.302429,496.716614,489.361328,495.354523,476.278046,10699811,488603,12123,0.0093
123,01-07-2015,495.800293,500.480927,495.800293,498.103485,478.921143,6841396,463792,11220,0.0056
124,02-07-2015,499.762756,505.08728,498.821655,500.679077,481.397522,7352247,585463,8390,0.0052
125,03-07-2015,500.134216,502.140198,496.815674,498.871185,479.659271,6383048,532965,10252,-0.0036
126,06-07-2015,493.373322,504.66626,492.927551,503.006989,483.635742,5647711,564557,5618,0.0083
127,07-07-2015,500.753357,503.527069,495.304993,496.914734,477.778168,5212640,213529,10085,-0.0121
128,08-07-2015,493.249481,499.614166,491.16922,493.620972,474.611237,7010484,410815,8910,-0.0066
129,09-07-2015,493.323792,495.800293,486.959106,489.064148,470.229919,7497465,404304,8844,-0.0092
130,10-07-2015,490.89679,497.286224,490.475769,496.196564,477.087677,7435026,327762,8746,0.0146
131,13-07-2015,496.196564,501.496307,492.902771,498.772125,479.563995,4550503,433427,7040,0.0052
132,14-07-2015,499.713226,501.001007,492.927551,494.215332,475.182709,4588659,301854,8325,-0.0091
133,15-07-2015,495.181183,502.437408,495.082123,500.827667,481.540405,6245436,495718,13218,0.0134
134,16-07-2015,501.248657,509.074493,500.827667,507.043732,487.51709,6855254,511991,9901,0.0124
135,17-07-2015,507.811462,510.733765,504.22049,506.053131,486.564667,4705056,405333,7852,-0.002
136,20-07-2015,509.074493,510.139374,504.170959,507.563812,488.017151,2929764,307533,5504,0.003
137,21-07-2015,509.173553,509.396423,496.667084,499.168396,479.945038,3656619,262687,18331,-0.0165
138,22-07-2015,497.781525,522.026733,497.583405,520.268372,500.232391,7988304,825916,15739,0.0423
139,23-07-2015,521.803833,528.911438,515.711548,517.74231,497.80365,8603702,610364,9852,-0.0049
140,24-07-2015,519.079651,519.896912,505.755951,507.712402,488.160034,6045493,290271,18669,-0.0194
141,27-07-2015,507.638092,510.114624,496.171783,497.954895,478.778259,9284709,437703,10939,-0.0192
142,28-07-2015,499.416046,503.576599,495.354523,500.381866,481.111786,6176196,323485,8393,0.0049
143,29-07-2015,500.010406,501.595367,491.39209,493.323792,474.325531,6825961,240152,9014,-0.0141
144,30-07-2015,495.354523,499.267456,491.49115,495.379303,476.30191,5400115,299237,9224,0.0042
145,31-07-2015,495.304993,499.217926,490.351959,496.221313,477.111481,7676708,351772,7120,0.0017
146,03-08-2015,495.800293,502.164978,495.007813,496.518494,477.397186,4563212,325060,10866,0.0006
147,04-08-2015,496.989044,498.103485,485.398895,489.361328,470.515686,5541169,355105,6799,-0.0144
148,05-08-2015,489.485168,495.701233,487.429657,489.237518,470.396606,6620219,262896,6978,-0.0002
149,06-08-2015,490.84726,491.34256,484.160645,484.878845,466.20575,4018758,239574,6606,-0.0089
150,07-08-2015,484.903595,492.33316,483.987274,487.553467,468.777405,3973000,249891,6577,0.0055
151,10-08-2015,487.627777,489.757599,477.72168,479.901031,461.419678,4286823,192667,8537,-0.0157
152,11-08-2015,480.941162,482.253723,474.502197,478.46463,460.038574,4043875,269415,9943,-0.003
153,12-08-2015,477.275909,478.46463,465.859131,467.023102,449.037659,4453623,391422,7486,-0.0239
